category,descrip,name,topics,type,views
Neighborhoods,"Missouri organic, leaf and brush drop off prices",Solid Waste Leaf and Brush drop off Price list,"['leaf and brush drop off', 'price list', 'solid waste']",File or Document,38696.0
Traffic,"Unclaimed Vehicle AuctionAUCTION RULES AND REGULATIONS :?(Please click ""Show More"" to view)In order to ensure that order is maintained, acts of theft are eliminated, and to keep the risk of any loss to a minimum on auction days, auction customers must:Be licensed with the State of Missouri, as a salvage dealer in order to purchase salvage vehicles. If the buyer present at an auction is not listed on the state salvage license, a letter from the owner of the company must be on file, authorizing the buyer to purchase vehicles under the companies state salvage license.If the buyer is a salvage dealer operating inside the city limits of the City of Kansas City, they must have been issued a State of Missouri salvage license?and?a KCMO Salvage Yard permit; OR be a KCMO licensed automotive repair business with a Non-Salvage Yard determination.- All buyers must register with the auctioneer and be issued a buyer number.?Buyer numbers must ? be worn at all times.- All buyers must have valid state ID to register.- All buyers must be at least 18 years of age.Penalties may be imposed on auction customers for failure to comply with all established protocols and procedures. A buyer may be suspended or banned for a period of 3 years or permanently banned for violation of established auction protocols and procedures. Buyer may be removed immediately and given a 3 year suspension for:- Disruptive, disrespectful, obscene or abusive language toward other customers, the auctioneer or ? City staff members.- Refusal to follow legal direction of City staff or auctioneers.?- Bidders may enter the driver?s side door of a vehicle to access the hood release only. Entering vehicles to access trunks, glove boxes, or interior areas will result in immediate removal and permanent suspension.- Dumping trash from purchased vehicles on the lot before taking the purchased vehicle.- Failing to take all vehicle parts when taking the purchased vehicle from the lot.?- Failure to pay for vehicles purchased at an auction. (Upon completion of the three year suspension, a $500.00 deposit will be required for all purchases made)?- Failure to pay security deposit for vehicles purchased at auction, when required.?- 2nd violation of any offense listed as a 6 month suspensionBuyers may be banned permanently for:- Any form of theft.?- Any 2nd failure to pay for vehicles purchased.?- Assault on another customer, city staff member, the auctioneer and their staff or anyone on Tow Service property.?- Any misrepresentation, as a buyer for a company, when not authorized or without written approval, from that company to act as a buyer for said company.?- Being found in violation of any city code pertaining to inoperable vehicles on property owned or controlled by the buying company or individual buyer.?- Attempting to purchase vehicles while under a 6-month or 12-month suspension.All sales must be final and paid in full by 4:30 PM on the day of the sale.The auctioneer will process all final sales and provide documentation of the sale to the City outlining each transaction by the close of business on the day of the auction. Additionally, the auctioneer will provide a check for the proceeds of the auction to the City by the end of business on the day of the auction as outlined in the contract. No exceptions.?The City does not guarantee a title to unclaimed vehicles sold at auction. All unclai",Kansas City Monthly Car Auction,[],Data Lens,18753.0
Neighborhoods,"trash, leaf and brush, recycling, drop off, tires, neighborhood cleanup, habitat restore, swap shop",Solid Waste Management guide,"['drop off', 'habitat restore', 'leaf and brush', 'neighborhood cleanup', 'recycling']",File or Document,16777.0
Regulated Industries,"Application to become a licensed employee able to serve or sell alcohol, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.",Application For Employee Liquor Permit,"['regulated industries', 'application', 'serve alcohol', 'server', 'package beverage']",File or Document,12803.0
Regulatory Codes,Current 2012 Building and Rehabilitation Code,2012 Chapter 18 Article 2: Building Code,"['building', 'codes', 'ordinances']",File or Document,12054.0
Information Bulletins,"Performing construction-related tradeswork in Kansas City, Mo., requires that a contractor hold one or more contractor licenses from City Planning & Development ? Development Services and one or more business licenses from Finance Department.",IB118 Contractor Licensing and Certification Requirements,[],File or Document,9617.0
Information Bulletins,Email and fax permit procedure and applications for a building permit,IB109 Email and Fax Permit Process,[],File or Document,9424.0
Property,"Updated daily. Dangerous Buildings cases are evaluated in accordance with building code standards to determine if they are a candidate for demolition. Private owners are generally given at least 30 days to conduct work to repair or demolish their property before the City will take action. The more severe the damage, the shorter the timeline the property owner has to avoid City action, which can include municipal court summons, fines, and demolition by City contractors (the cost of which is then assessed against the property owner).",Dangerous Buildings List,"['condemned', 'condemnation', 'db', 'bdkc', 'property']",Dataset,9071.0
Regulated Industries,"Application to become a licensed business that sells alcohol, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.",Application For Liquor License,"['regulated industries', 'application', 'package beverage sales', 'sales by the drink', 'alcohol sales']",File or Document,7504.0
Crime,"This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri.  The displayed information is the most current information from the data source as of the date of upload.  The data source is dynamic and therefore constantly changing.  Changes to the information may occur, as incident information is refined.
While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided.  The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood.  In no event shall the Board be liable in any way to the users of this data.  Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.",KCPD Crime Data 2014,"['bdkc', 'crime']",Dataset,7494.0
Code Interpretations,Interpretations remain valid for subsequent editions of the code provided that the interpreted text has not changed in the subsequent code. Interpretations remain valid unless revised or revoked.,Building Codes Interpretations,['codes'],Dataset,7247.0
311,"This data set contains call record data from the 311 call center in Kansas City, MO. This dataset used to be published under the name ""KCMOPS311"". This name was changed to make the dataset name more reflective of it's contents.",311 Call Center Service Requests,"['kcmops311', 'high value', 'bdkc', 'service requests', '311']",Dataset,7059.0
Development Review,City Plan Commission (CPC) Docket,City Plan Commission Docket,"['docket', 'cpc']",File or Document,6830.0
Fees,,Permit Fees Residential,[],File or Document,6757.0
,,KCFD Internal Investigation Into The Line Of Duty Deaths Fire Apparatus Operator Larry Leggio And Firefighter John Mesh,[],File or Document,6616.0
Regulatory Codes,Current 2012 Building and Rehabilitation Code,2012 Chapter 18 Article 3: One and Two Family Dwellings,"['codes', 'dwellings', 'ordinances']",File or Document,6404.0
Regulatory Codes,Current 2012 Building and Rehabilitation Code,2012 Chapter 18 Article 1: In General,"['codes', 'ordinances']",File or Document,6092.0
Fees,,Permit Fees Commercial,[],File or Document,5955.0
Budget,includes prior years,Line Item Budget FY2014-15,"['fy15', 'fy2015', 'fy2014-15', 'line item', 'budget']",Dataset,5553.0
Regulated Industries,,Cease List,[],File or Document,5380.0
Information Bulletins,Checklist of items necessary for performing a complete plans review of a project.,IB110 Part C Building Permit Checklist,"['permits', 'building', 'ib 110']",File or Document,5327.0
Information Bulletins,Application for a commercial building permit.,IB110 Part D Application For Building Permit,"['permits', 'building', 'ib 110']",File or Document,4892.0
Property,"Updated daily. Dangerous Buildings are scored according to several objective criteria. The higher the score, the more likely it is that the City will be forced to demolish the property, and the shorter the timeline the property owner has to avoid this. Non-emergency cases start with the owner being given a 30 day Order to Repair 
or Demolish.",Dangerous Buildings List,"['bdkc', 'property', 'demolition', 'dangerous buildings', 'neighborhood']",Map,4746.0
Municipal Court,,JRCC WEB ALPHA ROSTER,['jail list'],File or Document,4536.0
Crime,"This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri. The displayed information is the most current information from the data source as of the date of upload. The data source is dynamic and therefore constantly changing. Changes to the information may occur, as incident information is refined. While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided. The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood. In no event shall the Board be liable in any way to the users of this data. Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.",KCPD Crime Data 2015,"['police data', 'crime 2015', 'crime data 2015', 'crime data', 'bdkc']",Dataset,4274.0
Land Development,Construction Specifications Master Document,Construction Specifications Master,"['cpd', 'development services', 'ldd', 'ldd inspection', 'ldd specifications']",File or Document,4207.0
Regulatory Codes,Current 2012 Building and Rehabilitation Code,2012 Chapter 18 Article 13: Existing Building,"['codes', 'existing building', 'ordinances']",File or Document,4111.0
Regulated Industries,"Checklist to become a licensed liquor licensed business, issued by the Regulated Industries division of the Neighborhoods and Housing Services Department of the City of Kansas City, Mo.",Checklist For New Liquor Business,"['checklist', 'regulated industries', 'new business', 'alcohol', 'liquor license']",File or Document,4047.0
Information Bulletins,Commercial building permit plans resubmittal form,IB110 Part E Building Permit Plans Resubmittal,"['building', 'ib 110', 'permits', 'resubmittal']",File or Document,4024.0
Development Review,Application submittal schedule for City Plan Commission (CPC),City Plan Commission Schedule 2017,['development'],File or Document,3959.0
Budget,"A data set of payments made to vendors in 2016. Updated weekly. Checkbook level data. When analyzing this data be aware that the sum amount and voucher are unique amounts, the payment amount is the total of a check. A check often includes more than one voucher.
As a result of the Red Flag Commission recommendations, Ordinance 970032 was passed by the City Council Jan. 23, 1997. This ordinance requires the city to publish a report every two weeks listing all city payments.",Vendor Payments Calendar Year 2016,"['finance', 'checkbook', 'payments', 'vendor']",Dataset,3940.0
